"Story","Title","Result","Date","Stability","Duration (s)"
"User Add new Order","as a new user, I want to Order new services","SUCCESS","2022-03-15T21:47:58.5689684+07:00[Asia/Jakarta]","0.0","5.73"
"Admin Add New Services","as an Admin, I can add a new services on my menu service list","SUCCESS","2022-03-12T04:30:19.4094074+07:00[Asia/Jakarta]","0.0","5.12"
"Admin check all services","as an Admin, I can all services on my menu service list","SUCCESS","2022-03-13T03:48:11.7008364+07:00[Asia/Jakarta]","0.0","4.49"
"User try to check payment status","as an User, I want to check my payment status","SUCCESS","2022-03-14T01:43:22.6354291+07:00[Asia/Jakarta]","0.0","4.31"
"User want to give a review","as a user I want to give stars and reviews on my order","SUCCESS","2022-03-14T02:00:13.4852048+07:00[Asia/Jakarta]","0.0","4.13"
"Admin Add Payment","as an Admin, I want to add new payment method","SUCCESS","2022-03-13T14:54:47.218154+07:00[Asia/Jakarta]","0.0","9.35"
"Admin can delete Services","as an Admin, want to delete data services","SUCCESS","2022-03-14T01:04:23.0536117+07:00[Asia/Jakarta]","0.0","5.05"
"Review can deleted by Admin","as an Admin, I have the authority to delete reviews","SUCCESS","2022-03-14T02:42:45.9894415+07:00[Asia/Jakarta]","0.0","4.46"
"Admin checks all incoming orders","as an Admin, I want to check all incoming orders","SUCCESS","2022-03-14T21:45:56.8544103+07:00[Asia/Jakarta]","0.0","4.83"
"Admin check all Payment Method List","as an Admin, I want to check all the Payment Method","SUCCESS","2022-03-14T01:27:28.0568754+07:00[Asia/Jakarta]","0.0","4.84"
"Admin check all Reviews","as an Admin, I can view all reviews","SUCCESS","2022-03-13T03:22:24.666563+07:00[Asia/Jakarta]","0.0","7.64"
"Admin checks all order by ID Order","as an Admin, I can check the incoming order by Order ID","SUCCESS","2022-03-15T01:20:17.9402677+07:00[Asia/Jakarta]","0.0","4.53"
"Admin checks all order by User","as an Admin, I can check the incoming order by User ID","SUCCESS","2022-03-15T00:41:47.1706239+07:00[Asia/Jakarta]","0.0","5.38"
"Admin Check All User","as an Admin, I can view all User data","SUCCESS","2022-03-14T00:35:09.3646639+07:00[Asia/Jakarta]","0.0","4.74"
"I can call data themself","as registered account, I can check my own data","SUCCESS","2022-03-17T01:04:28.1500111+07:00[Asia/Jakarta]","0.0","6.44"
"Admin can search User by ID","as an Admin, I can find User data by search the ID","SUCCESS","2022-03-17T00:45:27.6613485+07:00[Asia/Jakarta]","0.0","0.77"
"User Register","as a new user, I do to register to the page","SUCCESS","2022-03-15T23:03:19.6275858+07:00[Asia/Jakarta]","0.0","4.39"
"Admin check services by ID","as an Admin, I want to check services by ID","SUCCESS","2022-03-13T04:10:26.939449+07:00[Asia/Jakarta]","0.0","5.36"
"User Login","as a user, I can do login to page","SUCCESS","2022-03-13T14:29:26.1291768+07:00[Asia/Jakarta]","0.0","2.4"
"Data Service Update","as an Admin I want to update the data service","SUCCESS","2022-03-12T20:41:51.0991264+07:00[Asia/Jakarta]","0.0","5.37"
"Admin Edit Services Image","as an Admin, I want to update image on the services data","SUCCESS","2022-03-12T21:31:12.9035232+07:00[Asia/Jakarta]","0.0","4.32"
"User can Update the Review","as a user I want to update my Review","SUCCESS","2022-03-14T02:18:19.3311031+07:00[Asia/Jakarta]","0.0","4.8"
